ENTIDAD,NUM-MUNICIPIO,MUNICIPIO,INDICADOR,AÑO 2010,AÑO 2020,unidad_medida
Yucatán,0,Estatal,Población con limitación en la actividad para hablar o comunicarse,9626,17263,Personas
Yucatán,1,Abalá,Población con limitación en la actividad para hablar o comunicarse,0,45,Personas
Yucatán,2,Acanceh,Población con limitación en la actividad para hablar o comunicarse,0,104,Personas
Yucatán,3,Akil,Población con limitación en la actividad para hablar o comunicarse,0,133,Personas
Yucatán,4,Baca,Población con limitación en la actividad para hablar o comunicarse,0,39,Personas
Yucatán,5,Bokobá,Población con limitación en la actividad para hablar o comunicarse,0,13,Personas
Yucatán,6,Buctzotz,Población con limitación en la actividad para hablar o comunicarse,0,66,Personas
Yucatán,7,Cacalchén,Población con limitación en la actividad para hablar o comunicarse,0,37,Personas
Yucatán,8,Calotmul,Población con limitación en la actividad para hablar o comunicarse,0,45,Personas
Yucatán,9,Cansahcab,Población con limitación en la actividad para hablar o comunicarse,0,26,Personas
Yucatán,10,Cantamayec,Población con limitación en la actividad para hablar o comunicarse,0,12,Personas
Yucatán,11,Celestún,Población con limitación en la actividad para hablar o comunicarse,0,65,Personas
Yucatán,12,Cenotillo,Población con limitación en la actividad para hablar o comunicarse,0,23,Personas
Yucatán,13,Conkal,Población con limitación en la actividad para hablar o comunicarse,0,98,Personas
Yucatán,14,Cuncunul,Población con limitación en la actividad para hablar o comunicarse,0,7,Personas
Yucatán,15,Cuzamá,Población con limitación en la actividad para hablar o comunicarse,0,30,Personas
Yucatán,16,Chacsinkín,Población con limitación en la actividad para hablar o comunicarse,0,11,Personas
Yucatán,17,Chankom,Población con limitación en la actividad para hablar o comunicarse,0,60,Personas
Yucatán,18,Chapab,Población con limitación en la actividad para hablar o comunicarse,0,25,Personas
Yucatán,19,Chemax,Población con limitación en la actividad para hablar o comunicarse,0,427,Personas
Yucatán,20,Chicxulub Pueblo,Población con limitación en la actividad para hablar o comunicarse,0,16,Personas
Yucatán,21,Chichimilá,Población con limitación en la actividad para hablar o comunicarse,0,47,Personas
Yucatán,22,Chikindzonot,Población con limitación en la actividad para hablar o comunicarse,0,23,Personas
Yucatán,23,Chocholá,Población con limitación en la actividad para hablar o comunicarse,0,40,Personas
Yucatán,24,Chumayel,Población con limitación en la actividad para hablar o comunicarse,0,15,Personas
Yucatán,25,Dzán,Población con limitación en la actividad para hablar o comunicarse,0,81,Personas
Yucatán,26,Dzemul,Población con limitación en la actividad para hablar o comunicarse,0,28,Personas
Yucatán,27,Dzidzantún,Población con limitación en la actividad para hablar o comunicarse,0,42,Personas
Yucatán,28,Dzilam de Bravo,Población con limitación en la actividad para hablar o comunicarse,0,15,Personas
Yucatán,29,Dzilam González,Población con limitación en la actividad para hablar o comunicarse,0,51,Personas
Yucatán,30,Dzitás,Población con limitación en la actividad para hablar o comunicarse,0,28,Personas
Yucatán,31,Dzoncauich,Población con limitación en la actividad para hablar o comunicarse,0,24,Personas
Yucatán,32,Espita,Población con limitación en la actividad para hablar o comunicarse,0,185,Personas
Yucatán,33,Halachó,Población con limitación en la actividad para hablar o comunicarse,0,208,Personas
Yucatán,34,Hocabá,Población con limitación en la actividad para hablar o comunicarse,0,44,Personas
Yucatán,35,Hoctún,Población con limitación en la actividad para hablar o comunicarse,0,30,Personas
Yucatán,36,Homún,Población con limitación en la actividad para hablar o comunicarse,0,59,Personas
Yucatán,37,Huhí,Población con limitación en la actividad para hablar o comunicarse,0,56,Personas
Yucatán,38,Hunucmá,Población con limitación en la actividad para hablar o comunicarse,0,317,Personas
Yucatán,39,Ixil,Población con limitación en la actividad para hablar o comunicarse,0,23,Personas
Yucatán,40,Izamal,Población con limitación en la actividad para hablar o comunicarse,0,213,Personas
Yucatán,41,Kanasín,Población con limitación en la actividad para hablar o comunicarse,0,1132,Personas
Yucatán,42,Kantunil,Población con limitación en la actividad para hablar o comunicarse,0,66,Personas
Yucatán,43,Kaua,Población con limitación en la actividad para hablar o comunicarse,0,15,Personas
Yucatán,44,Kinchil,Población con limitación en la actividad para hablar o comunicarse,0,78,Personas
Yucatán,45,Kopomá,Población con limitación en la actividad para hablar o comunicarse,0,20,Personas
Yucatán,46,Mama,Población con limitación en la actividad para hablar o comunicarse,0,30,Personas
Yucatán,47,Maní,Población con limitación en la actividad para hablar o comunicarse,0,32,Personas
Yucatán,48,Maxcanú,Población con limitación en la actividad para hablar o comunicarse,0,202,Personas
Yucatán,49,Mayapán,Población con limitación en la actividad para hablar o comunicarse,0,31,Personas
Yucatán,50,Mérida,Población con limitación en la actividad para hablar o comunicarse,0,6713,Personas
Yucatán,51,Mocochá,Población con limitación en la actividad para hablar o comunicarse,0,21,Personas
Yucatán,52,Motul,Población con limitación en la actividad para hablar o comunicarse,0,314,Personas
Yucatán,53,Muna,Población con limitación en la actividad para hablar o comunicarse,0,121,Personas
Yucatán,54,Muxupip,Población con limitación en la actividad para hablar o comunicarse,0,11,Personas
Yucatán,55,Opichén,Población con limitación en la actividad para hablar o comunicarse,0,73,Personas
Yucatán,56,Oxkutzcab,Población con limitación en la actividad para hablar o comunicarse,0,253,Personas
Yucatán,57,Panabá,Población con limitación en la actividad para hablar o comunicarse,0,62,Personas
Yucatán,58,Peto,Población con limitación en la actividad para hablar o comunicarse,0,199, Personas
